2026-03-11 13:09:40.574 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:40.672 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:40.835 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:09:45.936 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:46.207 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:46.372 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:09:51.318 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:51.426 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:51.581 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:09:56.532 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:56.643 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:56.790 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:10:01.932 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:02.394 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:02.546 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:10:07.722 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:07.854 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:08.136 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:10:13.159 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:13.270 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:13.440 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:10:18.538 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:18.803 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:18.930 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:10:24.077 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:24.212 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:24.354 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:10:29.483 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:29.749 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:29.863 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:10:35.022 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:35.289 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:35.409 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:10:40.563 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:40.848 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:40.998 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:10:46.144 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:46.414 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:46.566 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:10:51.721 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:51.824 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:51.955 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:10:56.931 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:57.032 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:10:57.177 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:11:02.304 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:02.407 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:02.533 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:11:07.513 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:07.637 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:07.836 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:11:12.918 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:13.018 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:13.148 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:11:18.141 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:18.245 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:18.359 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:11:23.510 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:23.775 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:23.954 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:11:29.055 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:29.161 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:29.351 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:11:34.274 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:34.543 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:34.681 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:11:40.042 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:40.299 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:40.449 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:11:45.409 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:45.506 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:45.666 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:11:50.595 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:50.699 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:50.861 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:11:55.972 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:56.075 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:11:56.231 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:12:01.402 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:12:01.668 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:12:01.824 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:12:06.941 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:12:07.039 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:12:07.189 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:12:12.148 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:12:12.251 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:12:12.398 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:12:17.363 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:12:17.624 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
